topology,qi,match,tokens,diameter,avg_degree,structural_entropy,spectral_gap,task_centrality,n_agents
ba_3_m1_s1,0,0,4391,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,1,1,1417,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,2,0,26116,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,3,0,58324,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,4,0,65627,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,5,1,80940,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,6,0,197246,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,7,0,71890,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,8,0,50114,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,9,0,31476,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,10,0,17687,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,11,1,25230,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,12,0,4531,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,13,1,23804,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,14,0,37382,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,15,0,1346,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,16,0,6935,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,17,0,11423,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,18,0,9485,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,19,0,70202,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,20,0,4891,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,21,0,6038,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,22,0,55970,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,23,1,3445,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,24,0,114099,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,25,0,11942,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,26,1,30949,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,27,0,14690,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,28,1,22557,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,29,0,5232,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,30,0,12700,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,31,0,18617,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,32,0,7565,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,33,0,35401,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,34,0,1486,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,35,0,3436,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,36,0,12715,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,37,0,5706,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,38,0,31665,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,39,0,5411,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,40,0,107865,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,41,0,7682,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,42,1,17897,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,43,0,5735,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,44,0,207893,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,45,0,55778,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,46,0,12399,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,47,0,13013,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,48,0,4439,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,49,1,7583,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,50,0,40226,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,51,0,37923,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,52,1,83913,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,53,0,1458,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,54,0,3591,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,55,0,2681,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,56,0,13218,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,57,0,14341,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,58,0,40240,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,59,1,7015,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,60,1,19253,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,61,0,21978,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,62,0,10664,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,63,0,16067,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,64,0,7918,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,65,0,1547,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,66,0,11003,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,67,0,9824,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,68,0,6474,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,69,0,2762,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,70,0,3287,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,71,1,29593,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,72,0,2807,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,73,0,5102,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,74,0,4726,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,75,1,3935,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,76,0,61256,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,77,0,8087,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,78,0,38875,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,79,0,46988,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,80,0,6910,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
ba_3_m1_s1,81,1,3957,1.6,1.0,2.2464393446710154,0.5917517095361371,0.0,4
